0,1,2
1.84,1.6800000000000002,0.88
0.12,0.48,1.4
1.84,0.12,0.72
0.12,2.08,0.12
1.04,0.6290909090909091,2.08
0.0,0.24,1.12
0.36,0.0,0.6
2.4400000000000004,0.0,0.6
0.24,0.24,1.4400000000000002
0.24,2.3200000000000003,0.0
1.96,0.96,0.0
0.6987234042553192,0.24,0.24
0.36,0.48,0.36
2.08,2.56,2.2
1.28,0.0,0.88
0.36,0.24,0.6
0.36,2.08,1.04
0.36,0.24,0.0
0.24,0.24,0.6
0.0,2.08,0.6
0.36,0.24,2.44
2.3200000000000003,1.829090909090909,0.84
0.0,0.24,1.24
0.12,0.12,1.6400000000000001
0.12,1.96,1.08
2.08,0.24,0.84
0.48,0.0,2.04
0.12,0.36,0.84
0.12,2.08,1.3199999999999998
0.24,0.76,2.04
1.96,0.24,0.96
0.48,0.0,0.6290909090909091
0.76,0.6,0.24
1.1600000000000001,2.44,0.0
0.24,1.08,0.0
0.0,0.84,0.0
0.0,1.4400000000000002,0.6
0.0,0.0,2.68
0.48,0.0,1.4400000000000002
2.44,0.24,0.0
1.36,2.08,0.0
0.76,0.12,0.24
0.24,2.2,1.8453731343283581
0.0,1.6400000000000001,0.48
0.36,0.84,0.22909090909090907
2.44,0.96,0.24
0.96,0.45818181818181813,0.0
0.48,1.8000000000000003,0.12
0.0,0.72,0.36
0.0,0.12,2.44
0.12,1.829090909090909,1.12
1.84,0.64,0.84
0.36,0.0,0.2987234042553192
0.48,0.24,1.28
0.84,1.829090909090909,0.6
2.44,0.24,1.28
1.2,0.12,0.22909090909090907
1.8000000000000003,2.2,1.04
0.72,0.48,0.36
0.48,0.36,2.44
2.3200000000000003,0.24,0.72
0.84,0.0,0.96
1.28,0.24,0.12
0.48,1.8673684210526318,2.08
0.12,0.24,0.48
1.96,0.0,0.48
0.24,0.36,1.8000000000000003
0.0,2.4400000000000004,0.36
0.24,1.4400000000000002,1.12
2.1974468085106382,0.0,0.0
0.48,0.24,0.12
0.0,2.2,2.08
0.12,0.88,0.36
2.08,0.22909090909090907,2.3200000000000003
1.0,0.64,1.0
0.72,0.12,0.6
0.0,1.04,1.24
0.24,0.0,0.84
2.08,0.0,0.96
0.48,0.12,0.88
0.0,1.96,0.88
0.24,0.6,0.0
2.08,0.72,0.0
0.24,0.24,0.36
2.08,2.08,2.08
0.0,0.36,0.72
0.36,1.0,1.4
2.44,0.64,0.48
0.96,0.0,0.88
0.88,0.36,0.0
0.0,2.44,0.12
0.12,1.9200000000000002,1.96
1.84,0.96,0.12
0.12,0.36,0.36
0.64,2.3200000000000003,2.08
0.0,0.48,0.36
0.0,2.44,0.24
0.36,0.6,0.0
